     DEPT             Vp              RHOB_synt            Vs_synt
            12           1252.14          1.823778212            687.821
            22           1252.14          1.823778212            687.821
            32           1252.14          1.823778212            687.821
            42           1258.16          1.825175644            691.132
            52           1213.92            1.8148867              666.8
            62           1223.07          1.817018417           671.8325
            72            1260.2          1.825649004            692.254
            82           1300.96          1.835086845            714.672
            92           1334.29          1.842775897           733.0035
           102           1380.54          1.853403197            758.441
           112           1537.12          1.889016834             844.56
           122           1813.56          1.950515661            996.602
           132           2019.41          1.995168817          1109.8195
           142           2019.81          1.995254637          1110.0395
           152           1960.18          1.982420465           1077.243
           162           1790.77          1.945512112           984.0675
           172           1581.34          1.898972424            868.881
           182           1542.44          1.890216947            847.486
           192           1621.02          1.907867603            890.705
           202           1635.53          1.911111309           898.6855
           212           1604.66          1.904204522            881.707
           222           1605.35          1.904359141           882.0865
           232           1609.07          1.905192548           884.1325
           242           1698.54          1.925141001            933.341
           252           1702.18          1.925948687            935.343
           262           1653.57          1.915137392           908.6075
           272           1650.64          1.914483997            906.996
           282           1629.72          1.909813066             895.49
           292           1660.94          1.916780041            912.661
           302           1612.85          1.906039071           886.2115
           312            1620.7          1.907796012            890.529
           322           1685.13          1.922162804           925.9655
           332           1555.11          1.893072488           854.4545
           342           1569.86          1.896392165            862.567
           352           1689.08          1.923040481            928.138
           362           1680.86          1.921213621            923.617
           372           1685.42          1.922227253            926.125
           382           1691.04          1.923475853            929.216
           392           1689.28           1.92308491            928.248
           402           1654.79          1.915409396           909.2785
           412           1728.88           1.93186388            950.028
           422           1676.06          1.920146123            920.977
           432           1621.12          1.907889974             890.76
           442              1772          1.941382184            973.744
           452           1888.27          1.966834489          1037.6925
           462           1819.11          1.951732356           999.6545
           472           1753.44          1.937290494            963.536
           482           1791.58          1.945690153            984.513
           492           1794.62          1.946358219            986.185
           502            1880.5          1.965143277           1033.419
           512           1897.63          1.968869934          1042.8405
           522           1805.95          1.948846213           992.4165
           532           1823.28          1.952646055           1001.948
           542           1720.77          1.930068902           945.5675
           552            1682.4          1.921555998            924.464
           562           1800.62          1.947676148            989.485
           572           1785.77          1.944412763           981.3175
           582           1777.66          1.942628397            976.857
           592           1804.86          1.948606984            991.817
           602           1882.15          1.965502531          1034.3265
           612           1899.36          1.969245923           1043.792
           622           1789.88           1.94531647            983.578
           632            1780.1          1.943165406            978.199
           642           1786.35          1.944540317           981.6365
           652           1789.52          1.945237329             983.38
           662           1882.71          1.965624445          1034.6345
           672           1995.83           1.99010325          1096.8505
           682           2001.46          1.991313875           1099.947
           692           2030.39          1.997523229          1115.8585
           702           1987.41          1.988291327          1092.2195
           712           1967.17          1.983929155          1081.0875
           722              1975          1.985617813           1085.394
           732           2031.95          1.997857511          1116.7165
           742           2023.01          1.995941061          1111.7995
           752           1997.81          1.990529095          1097.9395
           762           2022.19          1.995765187          1111.3485
           772           2024.68          1.996299195           1112.718
           782           2044.19          2.000478393          1123.4485
           792           2111.77          2.014886886          1160.6175
           802           2249.19           2.04386175          1236.1985
           812           2161.54          2.025431006           1187.991
           822           2356.36          2.066156987           1295.142
           832            2244.6          2.042900965           1233.674
           842           2255.14          2.045106491           1239.471
           852           2188.22          2.031059892           1202.665
           862           2213.93           2.03646864          1216.8055
           872           2070.35          2.006068335          1137.8365
           882           1971.58          1.984880411           1083.513
           892           2080.56          2.008245766           1143.452
           902           2118.46          2.016307523           1164.297
           912           2382.13          2.071478682          1309.3155
           922           2349.59          2.064756399          1291.4185
           932           2323.36          2.059319941           1276.992
           942            2308.8          2.056295389           1268.984
           952           2307.12          2.055946089            1268.06
           962           2284.72          2.051282547            1255.74
           972           2348.29          2.064487332          1290.7035
           982           2325.29          2.059720494          1278.0535
           992           2316.13          2.057818661          1273.0155
          1002           2342.85           2.06336097          1287.7115
          1012           2382.49          2.071552916          1309.5135
          1022           2383.47          2.071754984          1310.0525
          1032            2407.4           2.07668229           1323.214
          1042           2444.53           2.08430147          1343.6355
          1052           2469.13          2.089331996          1357.1655
          1062            2428.8          2.081077501           1334.984
          1072           2446.05          2.084612703          1344.4715
          1082           2504.24          2.096487633           1376.476
          1092           2460.91          2.087652613          1352.6445
          1102            2479.6          2.091468814           1362.924
          1112           2475.32          2.090595615            1360.57
          1122           2565.47          2.108898852          1410.1525
          1132           2512.94          2.098256364           1381.261
          1142           2401.86          2.075542748           1320.167
          1152           2462.18          2.087912181           1353.343
          1162           2422.43          2.079770308          1331.4805
          1172           2440.61          2.083498573          1341.4795
          1182           2575.81          2.110986243          1415.8395
          1192           2497.43          2.095101929          1372.7305
          1202           2601.94          2.116250285           1430.211
          1212            2380.6          2.071163152           1308.474
          1222           2538.13          2.103367735          1395.1155
          1232           2409.09          2.077029772          1324.1435
          1242           2389.49          2.072995772          1313.3635
          1252           2384.84          2.072037429           1310.806
          1262           2434.95          2.082338663          1338.3665
          1272           2440.14          2.083402283           1341.221
          1282           2413.24          2.077882776           1326.426
          1292           2445.84          2.084569707           1344.356
          1302           2427.44          2.080798493           1334.236
          1312            2427.4          2.080790286           1334.214
          1322           2505.34          2.096711362           1377.081
          1332           2501.74          2.095979055           1375.101
          1342           2519.06          2.099499532           1384.627
          1352           2441.23          2.083625585          1341.8205
          1362              2531          2.101922449           1391.194
          1372           2819.71          2.159510518          1549.9845
          1382           2927.54            2.1805273           1609.291
          1392           2745.43          2.144877292          1509.1305
          1402           2906.28           2.17640475           1597.598
          1412           2798.35          2.155315579          1538.2365
          1422           2800.84          2.155805136           1539.606
          1432           2846.92          2.164839155            1564.95
          1442           2896.56          2.174516472           1592.252
          1452           2843.44          2.164158603           1563.036
          1462            2825.2          2.160587017           1553.004
          1472           2833.68          2.162248443           1557.668
          1482           2855.54           2.16652369           1569.691
