Глубина	Горная порода
112	песчаник
122	песчаник
132	песчаник
162	песчаник
172	песчаник
192	песчаник
242	глина
332	глина
352	песчаник
442	песчаник
452	песчаник
502	песчаник
522	песчаник
542	алевролит
562	алевролит
602	алевролит
622	алевролит
662	песчаник
672	песчаник
802	песчаник
812	песчаник
822	песчаник
832	песчаник
872	песчаник
882	алевролит
892	алевролит
912	алевролит
1122	песчаник
1142	песчаник
1182	алевролит
1192	алевролит
1202	алевролит
1212	алевролит
1222	алевролит
1232	алевролит
1322	глина
1352	глина
1362	глина
1372	песчаник
1382	песчаник
1392	песчаник
1402	песчаник
1412	песчаник
1532	песчаник
1542	песчаник
1582	песчаник
1592	глина
1602	глина
1642	глина
1652	глина
1722	глина
1762	глина
1892	глина
1902	глина
1922	глина
2002	глина
2022	глина
2032	глина
2042	глина
2052	глина
2062	глина
2152	глина
2182	глина
2212	известняк пористый
2222	мергель 
2232	глина
2262	мергель 
2272	карбонаты(известняк/доломит)
2292	глина
2312	алевролит глинистый 
2322	мергель 
2332	песчаник
2352	алевролит песчанистый
2362	алевролит песчанистый
2372	мергель 
2382	алевролит песчанистый
2392	алевролит песчанистый
2402	аргиллит
2412	алевролит
2422	сланец глинистый
2432	аргиллит
2442	сланец кристаллический
