Глубина;Горная порода
22;песчаник
32;песчаник
42;песчаник
62;песчаник
72;песчаник
102;песчаник
112;песчаник
142;песчаник
152;песчаник
162;песчаник
172;песчаник
192;песчаник
202;глина
212;глина
222;глина
242;глина
262;глина
312;глина
342;песчаник
352;песчаник
362;песчаник
372;песчаник
382;песчаник
392;песчаник
402;песчаник
412;песчаник
442;песчаник
452;песчаник
472;песчаник
502;песчаник
522;алевролит
562;алевролит
592;алевролит
612;алевролит
622;песчаник
802;песчаник
882;песчаник
902;алевролит
952;алевролит
982;алевролит
1042;песчаник
1122;песчаник
1222;алевролит
1332;глина
1352;глина
1372;глина
1382;песчаник
1412;песчаник
1422;песчаник
1582;песчаник
1642;глина
1662;глина
1682;глина
1722;глина
1742;глина
1792;глина
1922;глина
2182;глина
2212;известняк пористый
2222;мергель
2272;глина
2282;мергель
2312;карбонаты(известняк/доломит)
2322;глина
2332;алевролит глинистый
2342;мергель
2352;песчаник
2372;алевролит песчанистый
2382;мергель
2392;алевролит песчанистый
2402;аргиллит
2422;алевролит 
2432;сланец глинистый
2442;аргиллит
2452;сланец кристаллический
2462;сланец кристаллический
