     DEPT              Vp             RHOB_synt             Vs_synt
             12            2307.7         2.056066688             1268.379
             22            2142.9         2.021488665             1177.739
             32              2000               1.991             1099.144
             42            2142.9         2.021488665             1177.739
             52            2142.9         2.021488665             1177.739
             62              2000               1.991             1099.144
             72            1764.7          1.93977379              969.729
             82            1764.7          1.93977379              969.729
             92            1764.7          1.93977379              969.729
            102              1875         1.963945313             1030.394
            112            1764.7          1.93977379              969.729
            122            1764.7          1.93977379              969.729
            132            1764.7          1.93977379              969.729
            142            1666.7         1.918062978              915.829
            152            1764.7          1.93977379              969.729
            162            1666.7         1.918062978              915.829
            172            1764.7          1.93977379              969.729
            182            1764.7          1.93977379              969.729
            192              1875         1.963945313             1030.394
            202              2000               1.991             1099.144
            212            1764.7          1.93977379              969.729
            222            1666.7         1.918062978              915.829
            232            1666.7         1.918062978              915.829
            242            1764.7          1.93977379              969.729
            252            1764.7          1.93977379              969.729
            262            1666.7         1.918062978              915.829
            272            1666.7         1.918062978              915.829
            282            1666.7         1.918062978              915.829
            292            1666.7         1.918062978              915.829
            302            1666.7         1.918062978              915.829
            312            1578.9          1.89842426              867.539
            322            1578.9          1.89842426              867.539
            332            1578.9          1.89842426              867.539
            342              2000               1.991             1099.144
            352            1666.7         1.918062978              915.829
            362              1875         1.963945313             1030.394
            372            1428.6         1.864394273              784.874
            382              1875         1.963945313             1030.394
            392            1666.7         1.918062978              915.829
            402              1875         1.963945313             1030.394
            412            1578.9          1.89842426              867.539
            422            1578.9          1.89842426              867.539
            432            1578.9          1.89842426              867.539
            442              1875         1.963945313             1030.394
            452              2000               1.991             1099.144
            462              2000               1.991             1099.144
            472            1666.7         1.918062978              915.829
            482            1666.7         1.918062978              915.829
            492            1666.7         1.918062978              915.829
            502            1764.7          1.93977379              969.729
            512            1764.7          1.93977379              969.729
            522              1875         1.963945313             1030.394
            532              1875         1.963945313             1030.394
            542              1875         1.963945313             1030.394
            552              1875         1.963945313             1030.394
            562              2000               1.991             1099.144
            572              2000               1.991             1099.144
            582              2000               1.991             1099.144
            592              1875         1.963945313             1030.394
            602              1875         1.963945313             1030.394
            612            1764.7          1.93977379              969.729
            622              1875         1.963945313             1030.394
            632              1875         1.963945313             1030.394
            642           1888.16         1.966810556             1037.632
            652           1876.19         1.964204567            1031.0485
            662           1884.44         1.966001028             1035.586
            672           1904.66         1.970397368             1046.707
            682           1947.52         1.979685127              1070.28
            692           1976.38         1.985915284             1086.153
            702           1956.47         1.981619259            1075.2025
