well1;Глубина;Толщина;Vp;Vs;Density;Горная порода;;well2;Глубина;Толщина;Vp;Vs;Density;Горная порода
;112;112;1537,12;844,56;1,8890168342144;песчаник;;;22;22;2142,9;1177,739;2,021488665285;песчаник
;122;10;1813,56;996,602;1,9505156614536;песчаник;;;32;10;2000;1099,144;1,991;песчаник
;132;10;2019,41;1109,8195;1,99516881739685;песчаник;;;42;10;2142,9;1177,739;2,021488665285;песчаник
;162;30;1790,77;984,0675;1,94551211228165;песчаник;;;62;20;2000;1099,144;1,991;песчаник
;172;10;1581,34;868,881;1,8989724237506;песчаник;;;72;10;1764,7;969,729;1,939773789965;песчаник
;192;20;1621,02;890,705;1,9078676028354;песчаник;;;102;30;1875;1030,394;1,9639453125;песчаник
;242;50;1698,54;933,341;1,9251410014866;глина;;;112;10;1764,7;969,729;1,939773789965;песчаник
;332;90;1555,11;854,4545;1,89307248821085;глина;;;142;30;1666,7;915,829;1,918062977765;песчаник
;352;20;1689,08;928,138;1,9230404806664;песчаник;;;152;10;1764,7;969,729;1,939773789965;песчаник
;442;90;1772;973,744;1,9318638803744;песчаник;;;162;10;1666,7;915,829;1,918062977765;песчаник
;452;10;1888,27;1037,6925;1,941382184;песчаник;;;172;10;1764,7;969,729;1,939773789965;песчаник
;502;50;1880,5;1033,419;1,96683448868165;песчаник;;;192;20;1875;1030,394;1,9639453125;песчаник
;522;20;1805,95;992,4165;1,95173235629085;песчаник;;;202;10;2000;1099,144;1,991;глина
;542;20;1720,77;945,5675;1,965143277125;глина;;;212;10;1764,7;969,729;1,939773789965;глина
;562;20;1800,62;989,485;1,94884621287125;глина;;;222;10;1666,7;915,829;1,918062977765;глина
;602;40;1882,15;1034,3265;1,93006890198165;глина;;;242;20;1764,7;969,729;1,939773789965;глина
;622;20;1789,88;983,578;1,9476761475794;глина;;;262;20;1666,7;915,829;1,918062977765;глина
;662;40;1882,71;1034,6345;1,96550253084125;песчаник;;;312;50;1578,9;867,539;1,898424260085;глина
;672;10;1995,83;1096,8505;1,9453164702344;песчаник;;;342;30;2000;1099,144;1,991;песчаник
;802;130;2249,19;1236,1985;1,96562444514285;песчаник;;;352;10;1666,7;915,829;1,918062977765;песчаник
;812;10;2161,54;1187,991;1,99010325002765;песчаник;;;362;10;1875;1030,394;1,9639453125;песчаник
;822;10;2356,36;1295,142;2,04386174995485;песчаник;;;372;10;1428,6;784,874;1,86439427346;песчаник
;832;10;2244,6;1233,674;2,0254310055266;песчаник;;;382;10;1875;1030,394;1,9639453125;песчаник
;872;40;2070,35;1137,8365;2,0661569868296;песчаник;;;392;10;1666,7;915,829;1,918062977765;песчаник
;882;10;1971,58;1083,513;2,04290096466;глина;;;402;10;1875;1030,394;1,9639453125;песчаник
;892;10;2080,56;1143,452;2,00606833509125;глина;;;412;10;1578,9;867,539;1,898424260085;песчаник
;912;20;2382,13;1309,3155;1,9848804114914;песчаник;;;442;30;1875;1030,394;1,9639453125;песчаник
;1122;210;2565,47;1410,1525;2,0082457659936;песчаник;;;452;10;2000;1099,144;1,991;песчаник
;1142;20;2401,86;1320,167;2,07147868162565;алевролит;;;472;20;1666,7;915,829;1,918062977765;песчаник
;1182;40;2575,81;1415,8395;2,10889885230965;алевролит;;;502;30;1764,7;969,729;1,939773789965;песчаник
;1192;10;2497,43;1372,7305;2,0755427482146;алевролит;;;522;20;1875;1030,394;1,9639453125;глина
;1202;10;2601,94;1430,211;2,11098624270485;алевролит;;;562;40;2000;1099,144;1,991;глина
;1212;10;2380,6;1308,474;2,09510192904365;алевролит;;;592;30;1875;1030,394;1,9639453125;глина
;1222;10;2538,13;1395,1155;2,1162502847186;алевролит;;;612;20;1764,7;969,729;1,939773789965;глина
;1232;10;2409,09;1324,1435;2,07116315186;алевролит;;;622;10;1875;1030,394;1,9639453125;песчаник
;1322;90;2505,34;1377,081;2,10336773518565;глина;;;802;180;2169,5;1192,369;2,027112102125;песчаник
;1352;30;2441,23;1341,8205;2,07702977177685;глина;;;882;80;2037,18;1119,593;1,9989778029474;песчаник
;1362;10;2531;1391,194;2,0967113620706;глина;;;902;20;2116,16;1163,032;2,0158192288256;песчаник
;1372;10;2819,71;1549,9845;2,08362558500165;алевролит;;;912;10;2298,66;1263,407;2,0541861253506;песчаник
;1382;10;2927,54;1609,291;2,1019224485;алевролит;;;1222;310;2433,09;1337,3435;2,08195733009685;песчаник
;1392;10;2745,43;1509,1305;2,15951051843285;алевролит;;;1332;110;2472,05;1358,7715;2,08992819117125;алевролит 
;1402;10;2906,28;1597,598;2,1805272998066;алевролит;;;1352;20;2395,84;1316,856;2,0743036729856;глина
;1412;10;2798,35;1538,2365;2,14487729232365;песчаник;;;1372;20;2643,14;1452,871;2,1245183658146;глина
;1532;120;2982,49;1639,5135;2,1764047504584;песчаник;;;1382;10;2843,75;1563,2065;2,16421923828125;песчаник
;1542;10;2901,14;1594,771;2,15531557869125;песчаник;;;1412;30;2939,34;1615,781;2,1828109641906;песчаник
;1582;40;3055,25;1679,5315;2,19113455409885;песчаник;;;1422;10;2779,98;1528,133;2,1516994587954;песчаник
;1592;10;2890,14;1588,721;2,1754064870546;песчаник;;;1642;220;2838,52;1560,33;2,1631959684104;песчаник
